"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/Neo/NeoMat/matBridge.matBridge","49","20","20","1","10.944798","0","20"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","129","129","1","0.000000","0","129"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","49","50","50","1","90.343285","0","50"
"/Niagara/DefaultAssets/DefaultRIbbonMaterial.DefaultRibbonMaterial","49","30","35","1","14.711353","0","35"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","49","40","45","1","18.291416","0","45"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","49","50","50","1","91.671211","0","50"
"/InterchangeAssets/gltf/M_Default.M_Default","49","274","226","6","255.703903","0","226"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","127","127","1","37.018017","0","127"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","49","274","292","6","209.587952","0","292"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","49","92","48","2","144.097092","0","48"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","31","33","1","34.402966","0","33"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","2089","2110","1","0.000000","0","2110"
